::1 - [27/February/2014 11:59:21] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:00:02] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:01:01] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:01:21] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:01:34] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:01:42] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:01:56] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:01:58] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:02:09] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:02:28] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:03:36] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:03:39] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:03:43] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:04:08] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:04:14] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 12:04:22] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
